Tackle,Normal,40,100,35,,A physical attack in which the user charges and slams into the target with its whole body
Growl,Normal,,100,40,,The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stat
Vine Whip,Grass,45,100,25,,The target is struck with slender, whiplike vines to inflict damage
Poison Powder,Poison,,75,35,,The user scatters a cloud of poisonous dust that poisons the target
Sleep Powder,Grass,,75,15,,The user scatters a big cloud of sleep-inducing dust around the target
Take Down,Normal,90,85,20,,A reckless, full-body charge attack for slamming into the target. This also damages the user a little
Razor Leaf,Grass,55,95,25,,Sharp-edged leaves are launched to slash at the opposing Pokémon. Critical hits land more easily
Sweet Scent,Normal,,100,20,,A sweet scent that harshly lowers opposing Pokémon's evasiveness
Growth,Normal,,,20,,The user's body grows all at once, raising the Attack and Sp. Atk stats
Double-Edge,Normal,120,100,15,,A reckless, life-risking tackle. This also damages the user quite a lot
Worry Seed,Grass,,100,10,,A seed that causes worry is planted on the target. It prevents sleep by making the target's Ability Insomnia
Synthesis,Grass,,,5,,The user restores its own HP. The amount of HP regained varies with the weather
Seed Bomb,Grass,80,100,15,,The user slams a barrage of hard-shelled seeds down on the target from above
Leech Seed,Grass,,90,10,,A seed is planted on the target. It steals some HP from the target every turn
Solar Beam,Grass,120,100,10,,In this two-turn attack, the user gathers light, then blasts a bundled beam on the next turn
Petal Dance,Grass,120,100,10,,The user attacks the target by scattering petals for two to three turns. The user then becomes confused
Petal Blizzard,Grass,90,100,15,,The user stirs up a violent petal blizzard and attacks everything around it
Scratch,Normal,40,100,35,,Hard, pointed, sharp claws rake the target to inflict damage
Ember,Fire,40,100,25,10,The target is attacked with small flames. This may also leave the target with a burn
Smokescreen,Normal,,100,20,,The user releases an obscuring cloud of smoke or ink. This lowers the target's accuracy
Dragon Rage,Dragon,,100,10,,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage
Scary Face,Normal,,100,10,,The user frightens the target with a scary face to harshly lower its Speed stat
Fire Fang,Fire,65,95,15,20,The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn
Flame Burst,Fire,70,100,15,,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well
Slash,Normal,70,100,20,,The target is attacked with a slash of claws or blades. Critical hits land more easily
Flamethrower,Fire,90,100,15,10,The target is scorched with an intense blast of fire. This may also leave the target with a burn
Fire Spin,Fire,35,85,15,100,The target becomes trapped within a fierce vortex of fire that rages for four to five turns
Inferno,Fire,100,50,5,100,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn
Wing Attack,Flying,60,100,35,,The target is struck with large, imposing wings spread wide to inflict damage
Flare Blitz,Fire,120,100,15,10,The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn
Heat Wave,Fire,95,90,10,10,The user attacks by exhaling hot breath on the opposing Pokémon. This may also leave those Pokémon with a burn
Dragon Claw,Dragon,80,100,15,,The user slashes the target with huge sharp claws
Shadow Claw,Ghost,70,100,15,,The user slashes with a sharp claw made from shadows. Critical hits land more easily
Air Slash,Flying,75,95,15,30,The user attacks with a blade of air that slices even the sky. This may also make the target flinch
Tail Whip,Normal,,100,30,,The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat
Water Gun,Water,40,100,25,,The target is blasted with a forceful shot of water
Withdraw,Water,,,40,,The user withdraws its body into its hard shell, raising its Defense stat
Bubble,Water,40,100,30,10,A spray of countless bubbles is jetted at the opposing Pokémon. This may also lower their Speed stat
Bite,Dark,60,100,25,30,The target is bitten with viciously sharp fangs. This may also make the target flinch
Rapid Spin,Normal,20,100,40,,A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes
Protect,Normal,,,10,,Enables the user to evade all attacks. Its chance of failing rises if it is used in succession
Water Pulse,Water,60,100,20,20,The user attacks the target with a pulsing blast of water. This may also confuse the target
Aqua Tail,Water,90,90,10,,The user attacks by swinging its tail as if it were a vicious wave in a raging storm
Skull Bash,Normal,130,100,10,100,The user tucks in its head to raise its Defense stat on the first turn, then rams the target on the next turn
Iron Defense,Steel,,,15,,The user hardens its body's surface like iron, sharply raising its Defense stat
Rain Dance,Water,,,5,,The user summons a heavy rain that falls for five turns, powering up Water-type moves. It lowers the power of Fire-type moves
Hydro Pump,Water,110,80,5,,The target is blasted by a huge volume of water launched under great pressure
Flash Cannon,Steel,80,100,10,10,The user gathers all its light energy and releases it all at once. This may also lower the target's Sp. Def stat
String Shot,Bug,,95,40,,The opposing Pokémon are bound with silk blown from the user's mouth that harshly lowers the Speed stat
Bug Bite,Bug,60,100,20,,The user bites the target. If the target is holding a Berry, the user eats it and gains its effect
Harden,Normal,,,30,,The user stiffens all the muscles in its body to raise its Defense stat
Gust,Flying,40,100,35,,A gust of wind is whipped up by wings and launched at the target to inflict damage
Confusion,Psychic,50,100,25,10,The target is hit by a weak telekinetic force. This may also confuse the target
Stun Spore,Grass,,75,30,,The user scatters a cloud of numbing powder that paralyzes the target
Psybeam,Psychic,65,100,20,10,The target is attacked with a peculiar ray. This may also leave the target confused
Silver Wind,Bug,60,100,5,10,The target is attacked with powdery scales blown by the wind. This may also raise all the user's stats
Supersonic,Normal,,55,20,,The user generates odd sound waves from its body that confuse the target
Safeguard,Normal,,,25,,The user creates a protective field that prevents status conditions for five turns
Whirlwind,Normal,,,20,,The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon
Bug Buzz,Bug,90,100,10,10,The user generates a damaging sound wave by vibration. This may also lower the target's Sp. Def stat
Rage Powder,Bug,,,20,,The user scatters a cloud of irritating powder to draw attention to itself. Opponents aim only at the user
Captivate,Normal,,100,20,,If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat
Tailwind,Flying,,,15,,The user whips up a turbulent whirlwind that ups the Speed stat of the user and its allies for four turns
Quiver Dance,Bug,,,20,,The user lightly performs a beautiful, mystic dance. This boosts the user's Sp. Atk, Sp. Def, and Speed stats
Poison Sting,Poison,15,100,35,30,The user stabs the target with a poisonous stinger. This may also poison the target
Twineedle,Bug,25,100,20,20,The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target
Fury Attack,Normal,15,85,20,,The target is jabbed repeatedly with a horn or beak two to five times in a row
Rage,Normal,20,100,20,,As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle
Pursuit,Dark,40,100,20,,The power of this attack move is doubled if it's used on a target that's switching out of battle
Focus Energy,Normal,,,30,,The user takes a deep breath and focuses so that critical hits land more easily
